"","hospital","id","category","procedures","deaths","mort_rate","mort_rate_overall","EMR","total_procedures","overall_deaths","cat1","cat2","cat3","cat4","cat5","Overall_procedures","prop_5","prop_4","prop_45","teaching","trauma_level","helipad","ped_trauma","ped_trauma_level","nbeds","npediatricbeds","nbassinets","rural","nicu","nicu_level","top50_ped_anyspecialty","top50_ped_cardio","rank_ped_cardio","top50_ped_pulm","rank_ped_pulm","hosp_index","cluster_kmeans","cluster_pop"
"11","Albany Medical Center",1376577247,"Category 1",131,0,0,0.0162337662337662,0.003,308,5,131,76,49,38,14,308,0.0454545454545455,0.123376623376623,0.168831168831169,1,1,1,1,2,734,125,NA,0,1,4,0,0,NA,0,NA,3,"3","2"
"12","Albany Medical Center",1376577247,"Category 2",76,0,0,0.0162337662337662,0.015,308,5,131,76,49,38,14,308,0.0454545454545455,0.123376623376623,0.168831168831169,1,1,1,1,2,734,125,NA,0,1,4,0,0,NA,0,NA,3,"3","2"
"13","Albany Medical Center",1376577247,"Category 3",49,1,0.0204081632653061,0.0162337662337662,0.016,308,5,131,76,49,38,14,308,0.0454545454545455,0.123376623376623,0.168831168831169,1,1,1,1,2,734,125,NA,0,1,4,0,0,NA,0,NA,3,"3","2"
"14","Albany Medical Center",1376577247,"Category 4",38,2,0.0526315789473684,0.0162337662337662,0.052,308,5,131,76,49,38,14,308,0.0454545454545455,0.123376623376623,0.168831168831169,1,1,1,1,2,734,125,NA,0,1,4,0,0,NA,0,NA,3,"3","2"
"15","Albany Medical Center",1376577247,"Category 5",14,2,0.142857142857143,0.0162337662337662,0.196,308,5,131,76,49,38,14,308,0.0454545454545455,0.123376623376623,0.168831168831169,1,1,1,1,2,734,125,NA,0,1,4,0,0,NA,0,NA,3,"3","2"
"16","Alfred I. duPont Hospital for Children",1467505073,"Category 1",179,1,0.00558659217877095,0.0316455696202532,0.005,632,20,179,152,97,185,19,632,0.0300632911392405,0.292721518987342,0.322784810126582,1,1,0,1,1,208,208,36,0,1,4,1,0,NA,0,NA,4,"3","2"
"17","Alfred I. duPont Hospital for Children",1467505073,"Category 2",152,2,0.0131578947368421,0.0316455696202532,0.022,632,20,179,152,97,185,19,632,0.0300632911392405,0.292721518987342,0.322784810126582,1,1,0,1,1,208,208,36,0,1,4,1,0,NA,0,NA,4,"3","2"
"18","Alfred I. duPont Hospital for Children",1467505073,"Category 3",97,3,0.0309278350515464,0.0316455696202532,0.027,632,20,179,152,97,185,19,632,0.0300632911392405,0.292721518987342,0.322784810126582,1,1,0,1,1,208,208,36,0,1,4,1,0,NA,0,NA,4,"3","2"
"19","Alfred I. duPont Hospital for Children",1467505073,"Category 4",185,14,0.0756756756756757,0.0316455696202532,0.101,632,20,179,152,97,185,19,632,0.0300632911392405,0.292721518987342,0.322784810126582,1,1,0,1,1,208,208,36,0,1,4,1,0,NA,0,NA,4,"3","2"
"20","Alfred I. duPont Hospital for Children",1467505073,"Category 5",19,0,0,0.0316455696202532,0.145,632,20,179,152,97,185,19,632,0.0300632911392405,0.292721518987342,0.322784810126582,1,1,0,1,1,208,208,36,0,1,4,1,0,NA,0,NA,4,"3","2"
"21","American Family Children's Hospital-University of Wisconsin Hospitals and Clinics",1922043744,"Category 1",130,0,0,0.0151515151515152,0.004,396,6,130,132,41,76,17,396,0.0429292929292929,0.191919191919192,0.234848484848485,1,1,0,1,1,111,111,26,0,1,4,1,1,36,1,NA,5,"1","1"
"22","American Family Children's Hospital-University of Wisconsin Hospitals and Clinics",1922043744,"Category 2",132,1,0.00757575757575758,0.0151515151515152,0.016,396,6,130,132,41,76,17,396,0.0429292929292929,0.191919191919192,0.234848484848485,1,1,0,1,1,111,111,26,0,1,4,1,1,36,1,NA,5,"1","1"
"23","American Family Children's Hospital-University of Wisconsin Hospitals and Clinics",1922043744,"Category 3",41,0,0,0.0151515151515152,0.025,396,6,130,132,41,76,17,396,0.0429292929292929,0.191919191919192,0.234848484848485,1,1,0,1,1,111,111,26,0,1,4,1,1,36,1,NA,5,"1","1"
"24","American Family Children's Hospital-University of Wisconsin Hospitals and Clinics",1922043744,"Category 4",76,4,0.0526315789473684,0.0151515151515152,0.067,396,6,130,132,41,76,17,396,0.0429292929292929,0.191919191919192,0.234848484848485,1,1,0,1,1,111,111,26,0,1,4,1,1,36,1,NA,5,"1","1"
"25","American Family Children's Hospital-University of Wisconsin Hospitals and Clinics",1922043744,"Category 5",17,1,0.0588235294117647,0.0151515151515152,0.165,396,6,130,132,41,76,17,396,0.0429292929292929,0.191919191919192,0.234848484848485,1,1,0,1,1,111,111,26,0,1,4,1,1,36,1,NA,5,"1","1"
"26","Ann & Robert H. Lurie Children's Hospital of Chicago",1235234535,"Category 1",478,0,0,0.0158730158730159,0.003,1260,20,478,357,124,269,32,1260,0.0253968253968254,0.213492063492063,0.238888888888889,1,1,1,1,1,312,312,64,0,1,4,1,1,18,1,19,6,"2","2"
"27","Ann & Robert H. Lurie Children's Hospital of Chicago",1235234535,"Category 2",357,2,0.00560224089635854,0.0158730158730159,0.012,1260,20,478,357,124,269,32,1260,0.0253968253968254,0.213492063492063,0.238888888888889,1,1,1,1,1,312,312,64,0,1,4,1,1,18,1,19,6,"2","2"
"28","Ann & Robert H. Lurie Children's Hospital of Chicago",1235234535,"Category 3",124,1,0.00806451612903226,0.0158730158730159,0.023,1260,20,478,357,124,269,32,1260,0.0253968253968254,0.213492063492063,0.238888888888889,1,1,1,1,1,312,312,64,0,1,4,1,1,18,1,19,6,"2","2"
"29","Ann & Robert H. Lurie Children's Hospital of Chicago",1235234535,"Category 4",269,11,0.0408921933085502,0.0158730158730159,0.064,1260,20,478,357,124,269,32,1260,0.0253968253968254,0.213492063492063,0.238888888888889,1,1,1,1,1,312,312,64,0,1,4,1,1,18,1,19,6,"2","2"
"30","Ann & Robert H. Lurie Children's Hospital of Chicago",1235234535,"Category 5",32,6,0.1875,0.0158730158730159,0.145,1260,20,478,357,124,269,32,1260,0.0253968253968254,0.213492063492063,0.238888888888889,1,1,1,1,1,312,312,64,0,1,4,1,1,18,1,19,6,"2","2"
"31","Arkansas Children's Hospital",1194776757,"Category 1",266,1,0.0037593984962406,0.0345945945945946,0.004,925,32,266,272,131,222,34,925,0.0367567567567568,0.24,0.276756756756757,1,1,1,1,1,336,336,104,0,1,4,1,1,49,1,34,7,"2","1"
"32","Arkansas Children's Hospital",1194776757,"Category 2",272,7,0.0257352941176471,0.0345945945945946,0.019,925,32,266,272,131,222,34,925,0.0367567567567568,0.24,0.276756756756757,1,1,1,1,1,336,336,104,0,1,4,1,1,49,1,34,7,"2","1"
"33","Arkansas Children's Hospital",1194776757,"Category 3",131,4,0.0305343511450382,0.0345945945945946,0.023,925,32,266,272,131,222,34,925,0.0367567567567568,0.24,0.276756756756757,1,1,1,1,1,336,336,104,0,1,4,1,1,49,1,34,7,"2","1"
"34","Arkansas Children's Hospital",1194776757,"Category 4",222,18,0.0810810810810811,0.0345945945945946,0.07,925,32,266,272,131,222,34,925,0.0367567567567568,0.24,0.276756756756757,1,1,1,1,1,336,336,104,0,1,4,1,1,49,1,34,7,"2","1"
"35","Arkansas Children's Hospital",1194776757,"Category 5",34,2,0.0588235294117647,0.0345945945945946,0.123,925,32,266,272,131,222,34,925,0.0367567567567568,0.24,0.276756756756757,1,1,1,1,1,336,336,104,0,1,4,1,1,49,1,34,7,"2","1"
"36","Arnold Palmer Medical Center",1184709057,"Category 1",120,0,0,0.0237580993520518,0.005,463,11,120,175,53,78,37,463,0.0799136069114471,0.168466522678186,0.248380129589633,1,1,1,1,1,158,158,142,0,1,3,1,1,40,0,NA,8,"2","2"
"37","Arnold Palmer Medical Center",1184709057,"Category 2",175,2,0.0114285714285714,0.0237580993520518,0.02,463,11,120,175,53,78,37,463,0.0799136069114471,0.168466522678186,0.248380129589633,1,1,1,1,1,158,158,142,0,1,3,1,1,40,0,NA,8,"2","2"
"38","Arnold Palmer Medical Center",1184709057,"Category 3",53,1,0.0188679245283019,0.0237580993520518,0.034,463,11,120,175,53,78,37,463,0.0799136069114471,0.168466522678186,0.248380129589633,1,1,1,1,1,158,158,142,0,1,3,1,1,40,0,NA,8,"2","2"
"39","Arnold Palmer Medical Center",1184709057,"Category 4",78,5,0.0641025641025641,0.0237580993520518,0.066,463,11,120,175,53,78,37,463,0.0799136069114471,0.168466522678186,0.248380129589633,1,1,1,1,1,158,158,142,0,1,3,1,1,40,0,NA,8,"2","2"
"40","Arnold Palmer Medical Center",1184709057,"Category 5",37,3,0.0810810810810811,0.0237580993520518,0.197,463,11,120,175,53,78,37,463,0.0799136069114471,0.168466522678186,0.248380129589633,1,1,1,1,1,158,158,142,0,1,3,1,1,40,0,NA,8,"2","2"
"41","Boston Children's Hospital",1710087127,"Category 1",1111,7,0.0063006300630063,0.0274653413549568,0.004,3823,105,1111,1205,471,853,183,3823,0.0478681663614962,0.223123201674078,0.270991368035574,1,1,1,1,1,404,404,24,0,1,4,1,1,4,1,1,9,"4","2"
"42","Boston Children's Hospital",1710087127,"Category 2",1205,18,0.0149377593360996,0.0274653413549568,0.016,3823,105,1111,1205,471,853,183,3823,0.0478681663614962,0.223123201674078,0.270991368035574,1,1,1,1,1,404,404,24,0,1,4,1,1,4,1,1,9,"4","2"
"43","Boston Children's Hospital",1710087127,"Category 3",471,14,0.029723991507431,0.0274653413549568,0.03,3823,105,1111,1205,471,853,183,3823,0.0478681663614962,0.223123201674078,0.270991368035574,1,1,1,1,1,404,404,24,0,1,4,1,1,4,1,1,9,"4","2"
"44","Boston Children's Hospital",1710087127,"Category 4",853,45,0.0527549824150059,0.0274653413549568,0.062,3823,105,1111,1205,471,853,183,3823,0.0478681663614962,0.223123201674078,0.270991368035574,1,1,1,1,1,404,404,24,0,1,4,1,1,4,1,1,9,"4","2"
"45","Boston Children's Hospital",1710087127,"Category 5",183,21,0.114754098360656,0.0274653413549568,0.106,3823,105,1111,1205,471,853,183,3823,0.0478681663614962,0.223123201674078,0.270991368035574,1,1,1,1,1,404,404,24,0,1,4,1,1,4,1,1,9,"4","2"
"46","C.S. Mott Children's Hospital - University of Michigan",1003878539,"Category 1",528,2,0.00378787878787879,0.0363915940543311,0.004,1951,71,528,512,321,450,140,1951,0.0717580727831881,0.230650948231676,0.302409021014864,1,1,1,1,1,348,348,52,0,1,4,1,1,24,1,18,10,"2","2"
"47","C.S. Mott Children's Hospital - University of Michigan",1003878539,"Category 2",512,8,0.015625,0.0363915940543311,0.017,1951,71,528,512,321,450,140,1951,0.0717580727831881,0.230650948231676,0.302409021014864,1,1,1,1,1,348,348,52,0,1,4,1,1,24,1,18,10,"2","2"
"48","C.S. Mott Children's Hospital - University of Michigan",1003878539,"Category 3",321,8,0.0249221183800623,0.0363915940543311,0.022,1951,71,528,512,321,450,140,1951,0.0717580727831881,0.230650948231676,0.302409021014864,1,1,1,1,1,348,348,52,0,1,4,1,1,24,1,18,10,"2","2"
"49","C.S. Mott Children's Hospital - University of Michigan",1003878539,"Category 4",450,37,0.0822222222222222,0.0363915940543311,0.079,1951,71,528,512,321,450,140,1951,0.0717580727831881,0.230650948231676,0.302409021014864,1,1,1,1,1,348,348,52,0,1,4,1,1,24,1,18,10,"2","2"
"50","C.S. Mott Children's Hospital - University of Michigan",1003878539,"Category 5",140,16,0.114285714285714,0.0363915940543311,0.157,1951,71,528,512,321,450,140,1951,0.0717580727831881,0.230650948231676,0.302409021014864,1,1,1,1,1,348,348,52,0,1,4,1,1,24,1,18,10,"2","2"
"51","Children's Health Medical Center Dallas",1194743013,"Category 1",434,0,0,0.0224489795918367,0.004,1470,33,434,517,131,329,59,1470,0.0401360544217687,0.223809523809524,0.263945578231292,1,1,1,1,1,490,490,47,0,1,4,1,0,NA,1,25,11,"2","2"
"52","Children's Health Medical Center Dallas",1194743013,"Category 2",517,8,0.0154738878143133,0.0224489795918367,0.014,1470,33,434,517,131,329,59,1470,0.0401360544217687,0.223809523809524,0.263945578231292,1,1,1,1,1,490,490,47,0,1,4,1,0,NA,1,25,11,"2","2"
"53","Children's Health Medical Center Dallas",1194743013,"Category 3",131,0,0,0.0224489795918367,0.023,1470,33,434,517,131,329,59,1470,0.0401360544217687,0.223809523809524,0.263945578231292,1,1,1,1,1,490,490,47,0,1,4,1,0,NA,1,25,11,"2","2"
"54","Children's Health Medical Center Dallas",1194743013,"Category 4",329,19,0.0577507598784195,0.0224489795918367,0.062,1470,33,434,517,131,329,59,1470,0.0401360544217687,0.223809523809524,0.263945578231292,1,1,1,1,1,490,490,47,0,1,4,1,0,NA,1,25,11,"2","2"
"55","Children's Health Medical Center Dallas",1194743013,"Category 5",59,6,0.101694915254237,0.0224489795918367,0.09,1470,33,434,517,131,329,59,1470,0.0401360544217687,0.223809523809524,0.263945578231292,1,1,1,1,1,490,490,47,0,1,4,1,0,NA,1,25,11,"2","2"
"56","Children's Healthcare of Atlanta",1689744450,"Category 1",748,3,0.00401069518716578,0.0402429764616553,0.003,2634,106,748,712,375,659,140,2634,0.0531511009870919,0.250189825360668,0.30334092634776,1,1,1,1,1,295,295,84,0,1,4,1,1,26,1,17,12,"4","2"
"57","Children's Healthcare of Atlanta",1689744450,"Category 2",712,15,0.0210674157303371,0.0402429764616553,0.015,2634,106,748,712,375,659,140,2634,0.0531511009870919,0.250189825360668,0.30334092634776,1,1,1,1,1,295,295,84,0,1,4,1,1,26,1,17,12,"4","2"
"58","Children's Healthcare of Atlanta",1689744450,"Category 3",375,14,0.0373333333333333,0.0402429764616553,0.019,2634,106,748,712,375,659,140,2634,0.0531511009870919,0.250189825360668,0.30334092634776,1,1,1,1,1,295,295,84,0,1,4,1,1,26,1,17,12,"4","2"
"59","Children's Healthcare of Atlanta",1689744450,"Category 4",659,42,0.0637329286798179,0.0402429764616553,0.054,2634,106,748,712,375,659,140,2634,0.0531511009870919,0.250189825360668,0.30334092634776,1,1,1,1,1,295,295,84,0,1,4,1,1,26,1,17,12,"4","2"
"60","Children's Healthcare of Atlanta",1689744450,"Category 5",140,32,0.228571428571429,0.0402429764616553,0.148,2634,106,748,712,375,659,140,2634,0.0531511009870919,0.250189825360668,0.30334092634776,1,1,1,1,1,295,295,84,0,1,4,1,1,26,1,17,12,"4","2"
"61","Children's Hospital & Medical Center",1346297843,"Category 1",267,2,0.00749063670411985,0.03714859437751,0.004,996,37,267,291,189,216,33,996,0.0331325301204819,0.216867469879518,0.25,1,2,0,1,2,145,145,40,0,1,4,1,1,39,1,50,13,"3","1"
"62","Children's Hospital & Medical Center",1346297843,"Category 2",291,6,0.0206185567010309,0.03714859437751,0.019,996,37,267,291,189,216,33,996,0.0331325301204819,0.216867469879518,0.25,1,2,0,1,2,145,145,40,0,1,4,1,1,39,1,50,13,"3","1"
"63","Children's Hospital & Medical Center",1346297843,"Category 3",189,2,0.0105820105820106,0.03714859437751,0.029,996,37,267,291,189,216,33,996,0.0331325301204819,0.216867469879518,0.25,1,2,0,1,2,145,145,40,0,1,4,1,1,39,1,50,13,"3","1"
"64","Children's Hospital & Medical Center",1346297843,"Category 4",216,22,0.101851851851852,0.03714859437751,0.09,996,37,267,291,189,216,33,996,0.0331325301204819,0.216867469879518,0.25,1,2,0,1,2,145,145,40,0,1,4,1,1,39,1,50,13,"3","1"
"65","Children's Hospital & Medical Center",1346297843,"Category 5",33,5,0.151515151515152,0.03714859437751,0.162,996,37,267,291,189,216,33,996,0.0331325301204819,0.216867469879518,0.25,1,2,0,1,2,145,145,40,0,1,4,1,1,39,1,50,13,"3","1"
"66","Children's Hospital Colorado",1336245828,"Category 1",554,0,0,0.0268292682926829,0.004,1640,44,554,491,160,343,92,1640,0.0560975609756098,0.209146341463415,0.265243902439024,1,1,1,1,1,434,434,49,0,1,4,1,1,6,1,5,14,"3","2"
"67","Children's Hospital Colorado",1336245828,"Category 2",491,6,0.0122199592668024,0.0268292682926829,0.016,1640,44,554,491,160,343,92,1640,0.0560975609756098,0.209146341463415,0.265243902439024,1,1,1,1,1,434,434,49,0,1,4,1,1,6,1,5,14,"3","2"
"68","Children's Hospital Colorado",1336245828,"Category 3",160,4,0.025,0.0268292682926829,0.024,1640,44,554,491,160,343,92,1640,0.0560975609756098,0.209146341463415,0.265243902439024,1,1,1,1,1,434,434,49,0,1,4,1,1,6,1,5,14,"3","2"
"69","Children's Hospital Colorado",1336245828,"Category 4",343,24,0.0699708454810496,0.0268292682926829,0.063,1640,44,554,491,160,343,92,1640,0.0560975609756098,0.209146341463415,0.265243902439024,1,1,1,1,1,434,434,49,0,1,4,1,1,6,1,5,14,"3","2"
"70","Children's Hospital Colorado",1336245828,"Category 5",92,10,0.108695652173913,0.0268292682926829,0.126,1640,44,554,491,160,343,92,1640,0.0560975609756098,0.209146341463415,0.265243902439024,1,1,1,1,1,434,434,49,0,1,4,1,1,6,1,5,14,"3","2"
"71","Children's Hospital New Orleans",1104819366,"Category 1",178,1,0.00561797752808989,0.0440060698027314,0.003,659,29,178,226,97,121,37,659,0.0561456752655539,0.18361153262519,0.239757207890744,1,1,1,1,1,229,229,36,0,1,4,0,0,NA,0,NA,15,"2","2"
"72","Children's Hospital New Orleans",1104819366,"Category 2",226,4,0.0176991150442478,0.0440060698027314,0.017,659,29,178,226,97,121,37,659,0.0561456752655539,0.18361153262519,0.239757207890744,1,1,1,1,1,229,229,36,0,1,4,0,0,NA,0,NA,15,"2","2"
"73","Children's Hospital New Orleans",1104819366,"Category 3",97,3,0.0309278350515464,0.0440060698027314,0.022,659,29,178,226,97,121,37,659,0.0561456752655539,0.18361153262519,0.239757207890744,1,1,1,1,1,229,229,36,0,1,4,0,0,NA,0,NA,15,"2","2"
"74","Children's Hospital New Orleans",1104819366,"Category 4",121,15,0.12396694214876,0.0440060698027314,0.084,659,29,178,226,97,121,37,659,0.0561456752655539,0.18361153262519,0.239757207890744,1,1,1,1,1,229,229,36,0,1,4,0,0,NA,0,NA,15,"2","2"
"75","Children's Hospital New Orleans",1104819366,"Category 5",37,6,0.162162162162162,0.0440060698027314,0.126,659,29,178,226,97,121,37,659,0.0561456752655539,0.18361153262519,0.239757207890744,1,1,1,1,1,229,229,36,0,1,4,0,0,NA,0,NA,15,"2","2"
"76","Children's Hospital of Illinois",1790734127,"Category 1",202,1,0.00495049504950495,0.01931330472103,0.003,466,9,202,145,33,69,17,466,0.036480686695279,0.148068669527897,0.184549356223176,1,1,1,1,1,144,144,64,0,1,3,1,0,NA,0,NA,16,"4","1"
"77","Children's Hospital of Illinois",1790734127,"Category 2",145,1,0.00689655172413793,0.01931330472103,0.014,466,9,202,145,33,69,17,466,0.036480686695279,0.148068669527897,0.184549356223176,1,1,1,1,1,144,144,64,0,1,3,1,0,NA,0,NA,16,"4","1"
"78","Children's Hospital of Illinois",1790734127,"Category 3",33,1,0.0303030303030303,0.01931330472103,0.028,466,9,202,145,33,69,17,466,0.036480686695279,0.148068669527897,0.184549356223176,1,1,1,1,1,144,144,64,0,1,3,1,0,NA,0,NA,16,"4","1"
"79","Children's Hospital of Illinois",1790734127,"Category 4",69,4,0.0579710144927536,0.01931330472103,0.059,466,9,202,145,33,69,17,466,0.036480686695279,0.148068669527897,0.184549356223176,1,1,1,1,1,144,144,64,0,1,3,1,0,NA,0,NA,16,"4","1"
"80","Children's Hospital of Illinois",1790734127,"Category 5",17,2,0.117647058823529,0.01931330472103,0.156,466,9,202,145,33,69,17,466,0.036480686695279,0.148068669527897,0.184549356223176,1,1,1,1,1,144,144,64,0,1,3,1,0,NA,0,NA,16,"4","1"
"81","Children's Hospital of Los Angeles",1366527954,"Category 1",670,4,0.00597014925373134,0.0298935298935299,0.004,2442,73,670,742,245,660,125,2442,0.0511875511875512,0.27027027027027,0.321457821457821,1,1,1,1,1,495,495,58,0,1,4,1,1,3,1,12,17,"3","3"
"82","Children's Hospital of Los Angeles",1366527954,"Category 2",742,10,0.0134770889487871,0.0298935298935299,0.013,2442,73,670,742,245,660,125,2442,0.0511875511875512,0.27027027027027,0.321457821457821,1,1,1,1,1,495,495,58,0,1,4,1,1,3,1,12,17,"3","3"
"83","Children's Hospital of Los Angeles",1366527954,"Category 3",245,7,0.0285714285714286,0.0298935298935299,0.029,2442,73,670,742,245,660,125,2442,0.0511875511875512,0.27027027027027,0.321457821457821,1,1,1,1,1,495,495,58,0,1,4,1,1,3,1,12,17,"3","3"
"84","Children's Hospital of Los Angeles",1366527954,"Category 4",660,35,0.053030303030303,0.0298935298935299,0.064,2442,73,670,742,245,660,125,2442,0.0511875511875512,0.27027027027027,0.321457821457821,1,1,1,1,1,495,495,58,0,1,4,1,1,3,1,12,17,"3","3"
"85","Children's Hospital of Los Angeles",1366527954,"Category 5",125,17,0.136,0.0298935298935299,0.186,2442,73,670,742,245,660,125,2442,0.0511875511875512,0.27027027027027,0.321457821457821,1,1,1,1,1,495,495,58,0,1,4,1,1,3,1,12,17,"3","3"
"86","Children's Hospital of Michigan",1538471800,"Category 1",225,1,0.00444444444444444,0.0344387755102041,0.004,784,27,225,259,85,184,31,784,0.0395408163265306,0.23469387755102,0.274234693877551,1,1,1,1,1,227,227,40,0,1,4,1,1,47,0,NA,18,"3","2"
"87","Children's Hospital of Michigan",1538471800,"Category 2",259,3,0.0115830115830116,0.0344387755102041,0.016,784,27,225,259,85,184,31,784,0.0395408163265306,0.23469387755102,0.274234693877551,1,1,1,1,1,227,227,40,0,1,4,1,1,47,0,NA,18,"3","2"
"88","Children's Hospital of Michigan",1538471800,"Category 3",85,2,0.0235294117647059,0.0344387755102041,0.024,784,27,225,259,85,184,31,784,0.0395408163265306,0.23469387755102,0.274234693877551,1,1,1,1,1,227,227,40,0,1,4,1,1,47,0,NA,18,"3","2"
"89","Children's Hospital of Michigan",1538471800,"Category 4",184,13,0.0706521739130435,0.0344387755102041,0.062,784,27,225,259,85,184,31,784,0.0395408163265306,0.23469387755102,0.274234693877551,1,1,1,1,1,227,227,40,0,1,4,1,1,47,0,NA,18,"3","2"
"90","Children's Hospital of Michigan",1538471800,"Category 5",31,8,0.258064516129032,0.0344387755102041,0.128,784,27,225,259,85,184,31,784,0.0395408163265306,0.23469387755102,0.274234693877551,1,1,1,1,1,227,227,40,0,1,4,1,1,47,0,NA,18,"3","2"
"91","Children's Hospital of Philadelphia",1760562581,"Category 1",738,3,0.0040650406504065,0.0333857030636292,0.004,2546,85,738,869,313,489,137,2546,0.0538098978790259,0.192065985860173,0.245875883739199,1,1,1,1,1,594,594,95,0,1,4,1,1,7,1,2,19,"4","2"
"92","Children's Hospital of Philadelphia",1760562581,"Category 2",869,13,0.0149597238204833,0.0333857030636292,0.017,2546,85,738,869,313,489,137,2546,0.0538098978790259,0.192065985860173,0.245875883739199,1,1,1,1,1,594,594,95,0,1,4,1,1,7,1,2,19,"4","2"
"93","Children's Hospital of Philadelphia",1760562581,"Category 3",313,14,0.0447284345047923,0.0333857030636292,0.029,2546,85,738,869,313,489,137,2546,0.0538098978790259,0.192065985860173,0.245875883739199,1,1,1,1,1,594,594,95,0,1,4,1,1,7,1,2,19,"4","2"
"94","Children's Hospital of Philadelphia",1760562581,"Category 4",489,34,0.0695296523517382,0.0333857030636292,0.074,2546,85,738,869,313,489,137,2546,0.0538098978790259,0.192065985860173,0.245875883739199,1,1,1,1,1,594,594,95,0,1,4,1,1,7,1,2,19,"4","2"
"95","Children's Hospital of Philadelphia",1760562581,"Category 5",137,21,0.153284671532847,0.0333857030636292,0.133,2546,85,738,869,313,489,137,2546,0.0538098978790259,0.192065985860173,0.245875883739199,1,1,1,1,1,594,594,95,0,1,4,1,1,7,1,2,19,"4","2"
"96","Children's Hospital of Pittsburgh",1164426896,"Category 1",379,0,0,0.0193704600484262,0.004,1239,24,379,427,122,264,47,1239,0.0379338175948345,0.213075060532688,0.251008878127522,1,1,1,1,1,315,315,77,0,1,4,1,1,3,1,6,20,"2","2"
"97","Children's Hospital of Pittsburgh",1164426896,"Category 2",427,4,0.00936768149882904,0.0193704600484262,0.015,1239,24,379,427,122,264,47,1239,0.0379338175948345,0.213075060532688,0.251008878127522,1,1,1,1,1,315,315,77,0,1,4,1,1,3,1,6,20,"2","2"
"98","Children's Hospital of Pittsburgh",1164426896,"Category 3",122,2,0.0163934426229508,0.0193704600484262,0.026,1239,24,379,427,122,264,47,1239,0.0379338175948345,0.213075060532688,0.251008878127522,1,1,1,1,1,315,315,77,0,1,4,1,1,3,1,6,20,"2","2"
"99","Children's Hospital of Pittsburgh",1164426896,"Category 4",264,15,0.0568181818181818,0.0193704600484262,0.084,1239,24,379,427,122,264,47,1239,0.0379338175948345,0.213075060532688,0.251008878127522,1,1,1,1,1,315,315,77,0,1,4,1,1,3,1,6,20,"2","2"
